tech_id,platform,id,description
T1497.003,"['Linux', 'macOS', 'Windows']",relationship--00701b4a-9eab-41cc-9c09-f904a9799201,"After initial installation, [Raindrop](https://attack.mitre.org/software/S0565) runs a computation to delay execution.(Citation: Symantec RAINDROP January 2021)"
T1571,"['Linux', 'macOS', 'Windows']",relationship--0076c114-0e7a-45c3-a851-7a877a9eefd0,[WIRTE](https://attack.mitre.org/groups/G0090) has used HTTPS over ports 2083 and 2087 for C2.(Citation: Kaspersky WIRTE November 2021)
T1059.005,"['Windows', 'macOS', 'Linux']",relationship--0077d777-1e32-4b34-ab12-461b34110ffe,[Lokibot](https://attack.mitre.org/software/S0447) has used VBS scripts and XLS macros for execution.(Citation: Talos Lokibot Jan 2021) 
T1021.002,['Windows'],relationship--00789efc-c0c5-4bc2-96ad-9f893bf9c06d,"[Conti](https://attack.mitre.org/software/S0575) can spread via SMB and encrypts files on different hosts, potentially compromising an entire network.(Citation: Cybereason Conti Jan 2021)(Citation: CarbonBlack Conti July 2020)"
T1083,"['Linux', 'macOS', 'Windows', 'Network']",relationship--007cc21a-685a-4701-99c1-20f258cedc7c,[BLACKCOFFEE](https://attack.mitre.org/software/S0069) has the capability to enumerate files.(Citation: FireEye APT17)
T1569.002,['Windows'],relationship--00822c6a-a881-4678-8d74-6a52b2ca27c9,[Pupy](https://attack.mitre.org/software/S0192) uses [PsExec](https://attack.mitre.org/software/S0029) to execute a payload or commands on a remote host.(Citation: GitHub Pupy)
T1560,"['Linux', 'macOS', 'Windows']",relationship--0082e86b-a7b7-496b-af03-88785b6c8fbb,[Dragonfly](https://attack.mitre.org/groups/G0035) has compressed data into .zip files prior to exfiltration.(Citation: US-CERT TA18-074A)
T1102.001,"['Linux', 'macOS', 'Windows']",relationship--00914655-1a22-40ed-ae4d-6adb1a6acd35,[Astaroth](https://attack.mitre.org/software/S0373) can store C2 information on cloud hosting services such as AWS and CloudFlare and websites like YouTube and Facebook.(Citation: Securelist Brazilian Banking Malware July 2020)
T1548.003,"['Linux', 'macOS']",relationship--00991be5-e2c2-4645-b743-e9e4af3d38b9,[Cobalt Strike](https://attack.mitre.org/software/S0154) can use <code>sudo</code> to run a command.(Citation: Cobalt Strike Manual 4.3 November 2020)
T1588.003,['PRE'],relationship--00a88d6f-fa8c-48bf-a028-fb75ca04e000,"[Wizard Spider](https://attack.mitre.org/groups/G0102) has obtained code signing certificates signed by DigiCert, GlobalSign, and COMOOD for malware payloads.(Citation: DFIR Ryuk 2 Hour Speed Run November 2020)(Citation: Mandiant FIN12 Oct 2021)"
T1071.004,"['Linux', 'macOS', 'Windows']",relationship--00aa618f-bcfa-4649-8436-134f9d01e43c,[Goopy](https://attack.mitre.org/software/S0477) has the ability to communicate with its C2 over DNS.(Citation: Cybereason Cobalt Kitty 2017)	
T1025,"['Linux', 'macOS', 'Windows']",relationship--00ae99d1-db02-4007-8669-04d7fc4c1390,"Once a removable media device is inserted back into the first victim, [USBStealer](https://attack.mitre.org/software/S0136) collects data from it that was exfiltrated from a second victim.(Citation: ESET Sednit USBStealer 2014)(Citation: Kaspersky Sofacy)"
T1091,['Windows'],relationship--00b0af92-df59-4d56-ac3e-18f6f1f72957,[Flame](https://attack.mitre.org/software/S0143) contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.(Citation: Kaspersky Flame)
T1106,"['Windows', 'macOS', 'Linux']",relationship--00ba134e-1833-4dde-bf4e-7ec45271e8a6,[EvilBunny](https://attack.mitre.org/software/S0396) has used various API calls as part of its checks to see if the malware is running in a sandbox.(Citation: Cyphort EvilBunny Dec 2014)	
T1564.005,"['Linux', 'macOS', 'Windows']",relationship--00caa57d-7b0f-4156-907e-18d14d62965a,[Equation](https://attack.mitre.org/groups/G0020) has used an encrypted virtual file system stored in the Windows Registry.(Citation: Kaspersky Equation QA)
T1033,"['Linux', 'macOS', 'Windows', 'Network']",relationship--00ce5c68-cb85-46d1-a6ba-7b2b767b0f09,[Trojan.Karagany](https://attack.mitre.org/software/S0094) can gather information about the user on a compromised host.(Citation: Secureworks Karagany July 2019)
T1071.001,"['Linux', 'macOS', 'Windows']",relationship--00d1f959-5469-4a9c-b33d-93f315719a6c,"[UPPERCUT](https://attack.mitre.org/software/S0275) has used HTTP for C2, including sending error codes in Cookie headers.(Citation: FireEye APT10 Sept 2018)"
T1134.002,['Windows'],relationship--00d3d6a8-c711-4bb5-bf0a-e17c0ecac8c8,[Azorult](https://attack.mitre.org/software/S0344) can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges.(Citation: Unit42 Azorult Nov 2018)
T1105,"['Linux', 'macOS', 'Windows']",relationship--00de3cf9-73c4-4b04-a074-a5d73e9b61de,[Fox Kitten](https://attack.mitre.org/groups/G0117) has downloaded additional tools including [PsExec](https://attack.mitre.org/software/S0029) directly to endpoints.(Citation: CISA AA20-259A Iran-Based Actor September 2020)
T1033,"['Linux', 'macOS', 'Windows', 'Network']",relationship--00e25bca-7df1-464e-94a4-cc13124e1d0c,"[PoetRAT](https://attack.mitre.org/software/S0428) sent username, computer name, and the previously generated UUID in reply to a ""who"" command from C2.(Citation: Talos PoetRAT April 2020)"
T1606.002,"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace', 'IaaS']",relationship--00e7784e-d0c8-48d8-a377-7ec83cf6a474,"During the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024), [APT29](https://attack.mitre.org/groups/G0016) created tokens using compromised SAML signing certificates.(Citation: Microsoft - Customer Guidance on Recent Nation-State Cyber Attacks)(Citation: Secureworks IRON RITUAL Profile)"
T1553.002,"['macOS', 'Windows']",relationship--00e99176-c74e-4f49-a498-c66a71612a5b,[Cobalt Strike](https://attack.mitre.org/software/S0154) can use self signed Java applets to execute signed applet attacks.(Citation: Talos Cobalt Strike September 2020)(Citation: Cobalt Strike Manual 4.3 November 2020)
T1614,"['Windows', 'Linux', 'macOS', 'IaaS']",relationship--00ed8575-5d79-46c3-adea-d0e1bf5dc14a,[DarkWatchman](https://attack.mitre.org/software/S0673) can identity the OS locale of a compromised host.(Citation: Prevailion DarkWatchman 2021)
T1027,"['Linux', 'macOS', 'Windows']",relationship--00f44cd5-9afc-472f-9743-251d243798a0,[Torisma](https://attack.mitre.org/software/S0678) has been Base64 encoded and AES encrypted.(Citation: McAfee Lazarus Nov 2020)
T1071.001,"['Linux', 'macOS', 'Windows']",relationship--00f4c60b-36c4-4ec5-affd-38f89687d957,"[RDAT](https://attack.mitre.org/software/S0495) can use HTTP communications for C2, as well as using the WinHTTP library to make requests to the Exchange Web Services API.(Citation: Unit42 RDAT July 2020)"
T1059,"['Linux', 'macOS', 'Windows', 'Network', 'Office 365', 'Azure AD', 'IaaS', 'Google Workspace']",relationship--00fb61de-33f5-4e85-aca3-8e4016aa0bf8,[Fox Kitten](https://attack.mitre.org/groups/G0117) has used a Perl reverse shell to communicate with C2.(Citation: ClearSky Pay2Kitten December 2020)
T1078.004,"['Azure AD', 'Office 365', 'SaaS', 'IaaS', 'Google Workspace']",relationship--00fe17bc-f783-4cba-9171-e1fde2fa0efa,"During the [SolarWinds Compromise](https://attack.mitre.org/campaigns/C0024), [APT29](https://attack.mitre.org/groups/G0016) used a compromised O365 administrator account to create a new Service Principal.(Citation: CrowdStrike StellarParticle January 2022)"
T1047,['Windows'],relationship--01000868-19de-44dd-bea5-ad30dae460ad,[Sardonic](https://attack.mitre.org/software/S1085) can use WMI to execute PowerShell commands on a compromised machine.(Citation: Bitdefender Sardonic Aug 2021)
T1105,"['Linux', 'macOS', 'Windows']",relationship--0109ee05-c2a9-4dcf-80d1-f859500c97c9,[EvilBunny](https://attack.mitre.org/software/S0396) has downloaded additional Lua scripts from the C2.(Citation: Cyphort EvilBunny Dec 2014)
T1027.010,"['Linux', 'macOS', 'Windows']",relationship--010ee4a6-41cb-4ce5-8dc2-9a1d1003ec4e,[Aquatic Panda](https://attack.mitre.org/groups/G0143) has encoded PowerShell commands in Base64.(Citation: CrowdStrike AQUATIC PANDA December 2021)
T1105,"['Linux', 'macOS', 'Windows']",relationship--0110e04e-5812-4b69-9700-037b52d3ebb4,[Pandora](https://attack.mitre.org/software/S0664) can load additional drivers and files onto a victim machine.(Citation: Trend Micro Iron Tiger April 2021)
T1027,"['Linux', 'macOS', 'Windows']",relationship--0112eb25-7f6c-49cd-95c8-bf0d49f7c380,[OSX_OCEANLOTUS.D](https://attack.mitre.org/software/S0352) encrypts its strings in RSA256 and encodes them in a custom base64 scheme and XOR.(Citation: TrendMicro MacOS April 2018)
T1560.001,"['Linux', 'macOS', 'Windows']",relationship--01202a82-56cc-4770-abf1-1a37c8717dba,[Crutch](https://attack.mitre.org/software/S0538) has used the WinRAR utility to compress and encrypt stolen files.(Citation: ESET Crutch December 2020)
T1016,"['Linux', 'macOS', 'Windows', 'Network']",relationship--012617bd-bdb5-434f-996c-bea7afe1b8a5,[Chrommme](https://attack.mitre.org/software/S0667) can enumerate the IP address of a compromised host.(Citation: ESET Gelsemium June 2021)
T1071.004,"['Linux', 'macOS', 'Windows']",relationship--01292102-1f89-4358-b62c-bc0afd49fc52,[QUADAGENT](https://attack.mitre.org/software/S0269) uses DNS for C2 communications.(Citation: Unit 42 QUADAGENT July 2018)
T1027,"['Linux', 'macOS', 'Windows']",relationship--01323439-5287-43cd-b7d9-750e606db602,[Inception](https://attack.mitre.org/groups/G0100) has encrypted malware payloads dropped on victim machines with AES and RC4 encryption.(Citation: Kaspersky Cloud Atlas December 2014)
T1012,['Windows'],relationship--014010a2-7bb8-4b11-bef9-c85609b2d94b,[Epic](https://attack.mitre.org/software/S0091) uses the <code>rem reg query</code> command to obtain values from Registry keys.(Citation: Kaspersky Turla)
T1566.002,"['Linux', 'macOS', 'Windows', 'Office 365', 'SaaS', 'Google Workspace']",relationship--01455ab2-2769-4eab-9df2-e7e5f707e7c6,[BlackTech](https://attack.mitre.org/groups/G0098) has used spearphishing e-mails with links to cloud services to deliver malware.(Citation: TrendMicro BlackTech June 2017)
T1566.002,"['Linux', 'macOS', 'Windows', 'Office 365', 'SaaS', 'Google Workspace']",relationship--0160acb0-db44-4076-acc6-74c872d5aa08,[Kerrdown](https://attack.mitre.org/software/S0585) has been distributed via e-mails containing a malicious link.(Citation: Amnesty Intl. Ocean Lotus February 2021)
T1583.006,['PRE'],relationship--0167e4ad-b828-4813-88bf-f5b03b4d3268,[Earth Lusca](https://attack.mitre.org/groups/G1006) has established GitHub accounts to host their malware.(Citation: TrendMicro EarthLusca 2022)
T1112,['Windows'],relationship--0167fba6-d37d-46ba-bb07-5fc70b864b3f,[CharmPower](https://attack.mitre.org/software/S0674) can remove persistence-related artifacts from the Registry.(Citation: Check Point APT35 CharmPower January 2022)
T1027,"['Linux', 'macOS', 'Windows']",relationship--016dc21c-ade9-43cc-9d88-a0c4c0891ccc,Most strings in [USBStealer](https://attack.mitre.org/software/S0136) are encrypted using 3DES and XOR and reversed.(Citation: ESET Sednit USBStealer 2014)
T1105,"['Linux', 'macOS', 'Windows']",relationship--0177d430-a0b9-4f2f-8c66-8dfa4391611a,[ShimRat](https://attack.mitre.org/software/S0444) can download additional files.(Citation: FOX-IT May 2016 Mofang)
T1047,['Windows'],relationship--0182aa0a-a8b9-4a6e-9932-88f34f8ceee3,[Meteor](https://attack.mitre.org/software/S0688) can use `wmic.exe` as part of its effort to delete shadow copies.(Citation: Check Point Meteor Aug 2021)
T1083,"['Linux', 'macOS', 'Windows', 'Network']",relationship--0188b7af-d060-4715-baf2-ad69333482dc,[Orz](https://attack.mitre.org/software/S0229) can gather victim drive information.(Citation: Proofpoint Leviathan Oct 2017)
T1059.003,['Windows'],relationship--0191f3d3-59d3-4fcc-bfff-5fbfa0675cfd,[SeaDuke](https://attack.mitre.org/software/S0053) is capable of executing commands.(Citation: Unit 42 SeaDuke 2015)
T1106,"['Windows', 'macOS', 'Linux']",relationship--019e35b8-cec3-45e0-b297-19dca59b3190,[Winnti for Windows](https://attack.mitre.org/software/S0141) can use Native API to create a new process and to start services.(Citation: Novetta Winnti April 2015)
T1547.008,['Windows'],relationship--019eb3cf-35df-4109-a006-1b91331866c3,"[Wingbird](https://attack.mitre.org/software/S0176) drops a malicious file (sspisrv.dll) alongside a copy of lsass.exe, which is used to register a service that loads sspisrv.dll as a driver. The payload of the malicious driver (located in its entry-point function) is executed when loaded by lsass.exe before the spoofed service becomes unstable and crashes.(Citation: Microsoft SIR Vol 21)(Citation: Microsoft Wingbird Nov 2017)"
T1083,"['Linux', 'macOS', 'Windows', 'Network']",relationship--01a01a28-19e5-4e32-8a24-a98f2b69ced5,[Attor](https://attack.mitre.org/software/S0438) has a plugin that enumerates files with specific extensions on all hard disk drives and stores file information in encrypted log files.(Citation: ESET Attor Oct 2019)
T1046,"['Windows', 'IaaS', 'Linux', 'macOS', 'Containers', 'Network']",relationship--01a1c2f4-ccb3-4238-9c9c-d6ca3a098ed9,[Pupy](https://attack.mitre.org/software/S0192) has a built-in module for port scanning.(Citation: GitHub Pupy)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--01aac35b-55e1-40d6-962f-5b5a6efdb2be,"[TrickBot](https://attack.mitre.org/software/S0266) gathers the OS version, machine name, CPU type, amount of RAM available, and UEFI/BIOS firmware information from the victim’s machine.(Citation: S2 Grupo TrickBot June 2017)(Citation: Fidelis TrickBot Oct 2016)(Citation: Cyberreason Anchor December 2019)(Citation: Eclypsium Trickboot December 2020)"
T1036.005,"['Linux', 'macOS', 'Windows', 'Containers']",relationship--01ab8fee-5204-40c1-ac7a-b11a5683a87d,"[Misdat](https://attack.mitre.org/software/S0083) saves itself as a file named `msdtc.exe`, which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service binary.(Citation: Cylance Dust Storm)(Citation: Microsoft DTC)"
T1070.004,"['Linux', 'macOS', 'Windows']",relationship--01b13af3-d241-47ed-b351-e83604c0d92f,[LightNeuron](https://attack.mitre.org/software/S0395) has a function to delete files.(Citation: ESET LightNeuron May 2019)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--01b542b1-3222-459b-9cdf-b91dcd29c749,[MoleNet](https://attack.mitre.org/software/S0553) can collect information about the about the system.(Citation: Cybereason Molerats Dec 2020)
T1584.006,['PRE'],relationship--01b5af07-512b-4b60-ba2d-5c185b80fb5f,[Turla](https://attack.mitre.org/groups/G0010) has frequently used compromised WordPress sites for C2 infrastructure.(Citation: Recorded Future Turla Infra 2020)
T1543.003,['Windows'],relationship--01b95067-ba65-48c2-8d2c-342e13007cc8,[NightClub](https://attack.mitre.org/software/S1090) has created a Windows service named `WmdmPmSp` to establish persistence.(Citation: MoustachedBouncer ESET August 2023)
T1553.002,"['macOS', 'Windows']",relationship--01b97c8a-f08c-4f54-a401-14d888ca79b9,[BackConfig](https://attack.mitre.org/software/S0475) has been signed with self signed digital certificates mimicking a legitimate software company.(Citation: Unit 42 BackConfig May 2020)
T1133,"['Windows', 'Linux', 'Containers', 'macOS']",relationship--01bebfd2-6c8c-4671-8754-34ca03c44299,[TeamTNT](https://attack.mitre.org/groups/G0139) has used open-source tools such as Weave Scope to target exposed Docker API ports and gain initial access to victim environments.(Citation: Intezer TeamTNT September 2020)(Citation: Cisco Talos Intelligence Group) [TeamTNT](https://attack.mitre.org/groups/G0139) has also targeted exposed kubelets for Kubernetes environments.(Citation: Unit 42 Hildegard Malware)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--01c60a20-2eff-4b4e-a15a-24e56a487b4e,[YAHOYAH](https://attack.mitre.org/software/S0388) checks for the system’s Windows OS version and hostname.(Citation: TrendMicro TropicTrooper 2015)
T1033,"['Linux', 'macOS', 'Windows', 'Network']",relationship--01c6d850-03c2-4ed0-ba1d-cf2cc9062106,[Revenge RAT](https://attack.mitre.org/software/S0379) gathers the username from the system.(Citation: Cylance Shaheen Nov 2018)
T1571,"['Linux', 'macOS', 'Windows']",relationship--01c982c2-f610-443f-ae60-1b4a1f508f81,[Silence](https://attack.mitre.org/groups/G0091) has used port 444 when sending data about the system from the client to the server.(Citation: Group IB Silence Sept 2018)	
T1059.005,"['Windows', 'macOS', 'Linux']",relationship--01d1922c-6900-4ed3-8ddf-bae4d06296b3,[Patchwork](https://attack.mitre.org/groups/G0040) used Visual Basic Scripts (VBS) on victim machines.(Citation: TrendMicro Patchwork Dec 2017)(Citation: Volexity Patchwork June 2018)
T1016,"['Linux', 'macOS', 'Windows', 'Network']",relationship--01e01c24-ba4c-41d7-8f30-8fca364dc2c6,"[ifconfig](https://attack.mitre.org/software/S0101) can be used to display adapter configuration on Unix systems, including information for TCP/IP, DNS, and DHCP."
T1003.003,['Windows'],relationship--01e22d76-e2ee-407a-834f-e3428df142ba,[APT28](https://attack.mitre.org/groups/G0007) has used the ntdsutil.exe utility to export the Active Directory database for credential access.(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021)
T1056.004,['Windows'],relationship--01e4bf9a-3d9c-4381-aa9c-cca73376c771,[Zeus Panda](https://attack.mitre.org/software/S0330) hooks processes by leveraging its own IAT hooked functions.(Citation: GDATA Zeus Panda June 2017)
T1071.004,"['Linux', 'macOS', 'Windows']",relationship--01eb6d18-bb7b-4e4a-b133-60407f40773b,[Denis](https://attack.mitre.org/software/S0354) has used DNS tunneling for C2 communications.(Citation: Cybereason Oceanlotus May 2017)(Citation: Securelist Denis April 2017)(Citation: Cybereason Cobalt Kitty 2017)
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--01ebd689-8233-409a-a12d-eafb2546f665,[SYSCON](https://attack.mitre.org/software/S0464) has the ability to use [Systeminfo](https://attack.mitre.org/software/S0096) to identify system information.(Citation: Unit 42 CARROTBAT January 2020)
T1016,"['Linux', 'macOS', 'Windows', 'Network']",relationship--01f4b583-4bd0-47eb-a108-c0bd7fd4d571,[HEXANE](https://attack.mitre.org/groups/G1001) has used [Ping](https://attack.mitre.org/software/S0097) and `tracert` for network discovery.(Citation: Kaspersky Lyceum October 2021)
T1057,"['Linux', 'macOS', 'Windows', 'Network']",relationship--01f98d14-77b9-439f-8b44-920fcaca2b2b,[Epic](https://attack.mitre.org/software/S0091) uses the <code>tasklist /v</code> command to obtain a list of processes.(Citation: Kaspersky Turla)(Citation: Kaspersky Turla Aug 2014)
T1518.001,"['Windows', 'Azure AD', 'Office 365', 'SaaS', 'IaaS', 'Linux', 'macOS', 'Google Workspace']",relationship--02052736-4888-47b0-9eb4-4031a4061998,[Darkhotel](https://attack.mitre.org/groups/G0012) has searched for anti-malware strings and anti-virus processes running on the system.(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft DUBNIUM June 2016) 
T1106,"['Windows', 'macOS', 'Linux']",relationship--02075984-9bec-465e-8a21-6717b9a1308b,[Pony](https://attack.mitre.org/software/S0453) has used several Windows functions for various purposes.(Citation: Malwarebytes Pony April 2016)	
T1003.006,['Windows'],relationship--0209cfd7-95d3-4bc5-8f0e-72a70b245fe9,"[Mimikatz](https://attack.mitre.org/software/S0002) performs credential dumping to obtain account and password information useful in gaining access to additional systems and enterprise network resources. It contains functionality to acquire information about credentials in many ways, including from DCSync/NetSync.(Citation: Deply Mimikatz)(Citation: GitHub Mimikatz lsadump Module)(Citation: Directory Services Internals DPAPI Backup Keys Oct 2015)(Citation: NCSC Joint Report Public Tools)(Citation: Cobalt Strike Manual 4.3 November 2020)"
T1560,"['Linux', 'macOS', 'Windows']",relationship--02174a5c-9cda-4ddc-9952-1ff1b956d31e,[Chrommme](https://attack.mitre.org/software/S0667) can encrypt and store on disk collected data before exfiltration.(Citation: ESET Gelsemium June 2021)
T1114.002,"['Office 365', 'Windows', 'Google Workspace']",relationship--021885d8-90a5-4d70-91de-869783cd57d3,[Ke3chang](https://attack.mitre.org/groups/G0004) has used compromised credentials and a .NET tool to dump data from Microsoft Exchange mailboxes.(Citation: NCC Group APT15 Alive and Strong)(Citation: Microsoft NICKEL December 2021)
T1027,"['Linux', 'macOS', 'Windows']",relationship--021c3289-43bb-4787-9d7e-6ad17b3ce84f,"Variants of [Emissary](https://attack.mitre.org/software/S0082) encrypt payloads using various XOR ciphers, as well as a custom algorithm that uses the ""srand"" and ""rand"" functions.(Citation: Lotus Blossom Dec 2015)(Citation: Emissary Trojan Feb 2016)"
T1082,"['Windows', 'IaaS', 'Linux', 'macOS', 'Network']",relationship--02206f22-80e9-4f87-9e4b-5c1df1eb737e,"[Unknown Logger](https://attack.mitre.org/software/S0130) can obtain information about the victim computer name, physical memory, country, and date.(Citation: Forcepoint Monsoon)"
T1562.001,"['Windows', 'macOS', 'Linux', 'Containers', 'IaaS', 'Network']",relationship--0220ae6b-0dd1-434c-9bde-68ee2b045a53,[RunningRAT](https://attack.mitre.org/software/S0253) kills antimalware running process.(Citation: McAfee Gold Dragon)
T1047,['Windows'],relationship--0220b491-9c13-4bc4-a3e2-e3ad0e8c9733,[RogueRobin](https://attack.mitre.org/software/S0270) uses various WMI queries to check if the sample is running in a sandbox.(Citation: Unit 42 DarkHydrus July 2018)(Citation: Unit42 DarkHydrus Jan 2019)
T1201,"['Windows', 'Linux', 'macOS', 'IaaS', 'Network']",relationship--0224ebf5-13ef-4fb0-b9e7-53ea58c15a4d,The <code>net accounts</code> and <code>net accounts /domain</code> commands with [Net](https://attack.mitre.org/software/S0039) can be used to obtain password policy information.(Citation: Savill 1999)
